"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","audioconf.numerique.gouv.fr/185.231.164.135","443","INFO","HTTP","",""
"pre_128cipher","audioconf.numerique.gouv.fr/185.231.164.135","443","INFO","No 128 cipher limit bug","",""
"SSLv2","audioconf.numerique.gouv.fr/185.231.164.135","443","OK","not offered","",""
"SSLv3","audioconf.numerique.gouv.fr/185.231.164.135","443","OK","not offered","",""
"TLS1","audioconf.numerique.gouv.fr/185.231.164.135","443","INFO","not offered","",""
"TLS1_1","audioconf.numerique.gouv.fr/185.231.164.135","443","INFO","not offered","",""
"TLS1_2","audioconf.numerique.gouv.fr/185.231.164.135","443","OK","offered","",""
"TLS1_3","audioconf.numerique.gouv.fr/185.231.164.135","443","OK","offered with final","",""
"ALPN_HTTP2","audioconf.numerique.gouv.fr/185.231.164.135","443","OK","h2","",""
"ALPN","audioconf.numerique.gouv.fr/185.231.164.135","443","INFO","http/1.1","",""
"cipherlist_NULL","audioconf.numerique.gouv.fr/185.231.164.135","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","audioconf.numerique.gouv.fr/185.231.164.135","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","audioconf.numerique.gouv.fr/185.231.164.135","443","OK","not offered","","CWE-327"
"cipherlist_LOW","audioconf.numerique.gouv.fr/185.231.164.135","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","audioconf.numerique.gouv.fr/185.231.164.135","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","audioconf.numerique.gouv.fr/185.231.164.135","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","audioconf.numerique.gouv.fr/185.231.164.135","443","INFO","not offered","",""
"cipherlist_STRONG_FS","audioconf.numerique.gouv.fr/185.231.164.135","443","OK","offered","",""
"cipher_order-tls1_2","audioconf.numerique.gouv.fr/185.231.164.135","443","OK","server","",""
"cipherorder_TLSv1_2","audioconf.numerique.gouv.fr/185.231.164.135","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","audioconf.numerique.gouv.fr/185.231.164.135","443","OK","server","",""
"FS","audioconf.numerique.gouv.fr/185.231.164.135","443","OK","offered","",""
