"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","www.monservicesecurise.beta.gouv.fr/185.21.194.105","443","INFO","HTTP","",""
"pre_128cipher","www.monservicesecurise.beta.gouv.fr/185.21.194.105","443","INFO","No 128 cipher limit bug","",""
"SSLv2","www.monservicesecurise.beta.gouv.fr/185.21.194.105","443","OK","not offered","",""
"SSLv3","www.monservicesecurise.beta.gouv.fr/185.21.194.105","443","OK","not offered","",""
"TLS1","www.monservicesecurise.beta.gouv.fr/185.21.194.105","443","INFO","not offered","",""
"TLS1_1","www.monservicesecurise.beta.gouv.fr/185.21.194.105","443","INFO","not offered","",""
"TLS1_2","www.monservicesecurise.beta.gouv.fr/185.21.194.105","443","OK","offered","",""
"TLS1_3","www.monservicesecurise.beta.gouv.fr/185.21.194.105","443","OK","offered with final","",""
"ALPN_HTTP2","www.monservicesecurise.beta.gouv.fr/185.21.194.105","443","OK","h2","",""
"ALPN","www.monservicesecurise.beta.gouv.fr/185.21.194.105","443","INFO","http/1.1","",""
"cipherlist_NULL","www.monservicesecurise.beta.gouv.fr/185.21.194.105","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","www.monservicesecurise.beta.gouv.fr/185.21.194.105","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","www.monservicesecurise.beta.gouv.fr/185.21.194.105","443","OK","not offered","","CWE-327"
"cipherlist_LOW","www.monservicesecurise.beta.gouv.fr/185.21.194.105","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","www.monservicesecurise.beta.gouv.fr/185.21.194.105","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","www.monservicesecurise.beta.gouv.fr/185.21.194.105","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","www.monservicesecurise.beta.gouv.fr/185.21.194.105","443","INFO","not offered","",""
"cipherlist_STRONG_FS","www.monservicesecurise.beta.gouv.fr/185.21.194.105","443","OK","offered","",""
"cipher_order-tls1_2","www.monservicesecurise.beta.gouv.fr/185.21.194.105","443","OK","server","",""
"cipherorder_TLSv1_2","www.monservicesecurise.beta.gouv.fr/185.21.194.105","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
"cipher_order","www.monservicesecurise.beta.gouv.fr/185.21.194.105","443","OK","server","",""
"FS","www.monservicesecurise.beta.gouv.fr/185.21.194.105","443","OK","offered","",""
"FS_ciphers","www.monservicesecurise.beta.gouv.fr/185.21.194.105","443","INFO","DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","www.monservicesecurise.beta.gouv.fr/185.21.194.105","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","www.monservicesecurise.beta.gouv.fr/185.21.194.105","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'session ticket/#35' 'supported versions/#43' 'key share/#51' 'supported_groups/#10' 'max fragment length/#1' 'application layer protocol negotiation/#16' 'extended master secret/#23'","",""
"TLS_session_ticket","www.monservicesecurise.beta.gouv.fr/185.21.194.105","443","INFO","valid for 300 seconds only (<daily)","",""
"SSL_sessionID_support","www.monservicesecurise.beta.gouv.fr/185.21.194.105","443","INFO","yes","",""
"sessionresumption_ticket","www.monservicesecurise.beta.gouv.fr/185.21.194.105","443","INFO","not supported","",""
"sessionresumption_ID","www.monservicesecurise.beta.gouv.fr/185.21.194.105","443","INFO","not supported","",""
"TLS_timestamp","www.monservicesecurise.beta.gouv.fr/185.21.194.105","443","INFO","random","",""
"certificate_compression","www.monservicesecurise.beta.gouv.fr/185.21.194.105","443","INFO","none","",""
"clientAuth","www.monservicesecurise.beta.gouv.fr/185.21.194.105","443","INFO","none","",""
"cert_numbers","www.monservicesecurise.beta.gouv.fr/185.21.194.105","443","INFO","1","",""
"cert_signatureAlgorithm","www.monservicesecurise.beta.gouv.fr/185.21.194.105","443","OK","SHA256 with RSA","",""
"cert_keySize","www.monservicesecurise.beta.gouv.fr/185.21.194.105","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","www.monservicesecurise.beta.gouv.fr/185.21.194.105","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","www.monservicesecurise.beta.gouv.fr/185.21.194.105","443","INFO","TLS Web Server Authentication","",""
"cert_serialNumber","www.monservicesecurise.beta.gouv.fr/185.21.194.105","443","INFO","4B7A5C4356F6ED10952E2175C97CD4A7","",""
"cert_serialNumberLen","www.monservicesecurise.beta.gouv.fr/185.21.194.105","443","INFO","16","",""
"cert_fingerprintSHA1","www.monservicesecurise.beta.gouv.fr/185.21.194.105","443","INFO","7EE2B89CB27C78A830E05A5FFB452AE69F7405E1","",""
"cert_fingerprintSHA256","www.monservicesecurise.beta.gouv.fr/185.21.194.105","443","INFO","AAA37DC55EC3983D46C3D6970EE61026BECE0B6C96DAB9D90FFE7D76AE0F1964","",""
