"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","candidat.pole-emploi.fr/185.215.64.30","443","INFO","HTTP","",""
"pre_128cipher","candidat.pole-emploi.fr/185.215.64.30","443","INFO","No 128 cipher limit bug","",""
"SSLv2","candidat.pole-emploi.fr/185.215.64.30","443","OK","not offered","",""
"SSLv3","candidat.pole-emploi.fr/185.215.64.30","443","OK","not offered","",""
"TLS1","candidat.pole-emploi.fr/185.215.64.30","443","INFO","not offered","",""
"TLS1_1","candidat.pole-emploi.fr/185.215.64.30","443","INFO","not offered","",""
"TLS1_2","candidat.pole-emploi.fr/185.215.64.30","443","OK","offered","",""
"TLS1_3","candidat.pole-emploi.fr/185.215.64.30","443","OK","offered with final","",""
"ALPN","candidat.pole-emploi.fr/185.215.64.30","443","INFO","not offered","",""
"cipherlist_NULL","candidat.pole-emploi.fr/185.215.64.30","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","candidat.pole-emploi.fr/185.215.64.30","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","candidat.pole-emploi.fr/185.215.64.30","443","OK","not offered","","CWE-327"
"cipherlist_LOW","candidat.pole-emploi.fr/185.215.64.30","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","candidat.pole-emploi.fr/185.215.64.30","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","candidat.pole-emploi.fr/185.215.64.30","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","candidat.pole-emploi.fr/185.215.64.30","443","INFO","not offered","",""
"cipherlist_STRONG_FS","candidat.pole-emploi.fr/185.215.64.30","443","OK","offered","",""
"cipher_order-tls1_2","candidat.pole-emploi.fr/185.215.64.30","443","OK","server","",""
"cipherorder_TLSv1_2","candidat.pole-emploi.fr/185.215.64.30","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
"cipher_order","candidat.pole-emploi.fr/185.215.64.30","443","OK","server","",""
"FS","candidat.pole-emploi.fr/185.215.64.30","443","OK","offered","",""
"FS_ciphers","candidat.pole-emploi.fr/185.215.64.30","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","candidat.pole-emploi.fr/185.215.64.30","443","OK","prime256v1 secp384r1","",""
"TLS_extensions","candidat.pole-emploi.fr/185.215.64.30","443","INFO","'EC point formats/#11' 'extended master secret/#23' 'supported versions/#43' 'key share/#51' 'renegotiation info/#65281'","",""
