"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","dora.incubateur.net/80.247.12.255","443","INFO","HTTP","",""
"pre_128cipher","dora.incubateur.net/80.247.12.255","443","INFO","No 128 cipher limit bug","",""
"SSLv2","dora.incubateur.net/80.247.12.255","443","OK","not offered","",""
"SSLv3","dora.incubateur.net/80.247.12.255","443","OK","not offered","",""
"TLS1","dora.incubateur.net/80.247.12.255","443","INFO","not offered","",""
"TLS1_1","dora.incubateur.net/80.247.12.255","443","INFO","not offered","",""
"TLS1_2","dora.incubateur.net/80.247.12.255","443","OK","offered","",""
"TLS1_3","dora.incubateur.net/80.247.12.255","443","OK","offered with final","",""
"ALPN_HTTP2","dora.incubateur.net/80.247.12.255","443","OK","h2","",""
"ALPN","dora.incubateur.net/80.247.12.255","443","INFO","http/1.1","",""
"cipherlist_NULL","dora.incubateur.net/80.247.12.255","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","dora.incubateur.net/80.247.12.255","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","dora.incubateur.net/80.247.12.255","443","OK","not offered","","CWE-327"
"cipherlist_LOW","dora.incubateur.net/80.247.12.255","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","dora.incubateur.net/80.247.12.255","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","dora.incubateur.net/80.247.12.255","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","dora.incubateur.net/80.247.12.255","443","INFO","not offered","",""
"cipherlist_STRONG_FS","dora.incubateur.net/80.247.12.255","443","OK","offered","",""
"cipher_order-tls1_2","dora.incubateur.net/80.247.12.255","443","OK","server","",""
"cipherorder_TLSv1_2","dora.incubateur.net/80.247.12.255","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
"cipher_order","dora.incubateur.net/80.247.12.255","443","OK","server","",""
"FS","dora.incubateur.net/80.247.12.255","443","OK","offered","",""
"FS_ciphers","dora.incubateur.net/80.247.12.255","443","INFO","DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","dora.incubateur.net/80.247.12.255","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","dora.incubateur.net/80.247.12.255","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'session ticket/#35' 'supported versions/#43' 'key share/#51' 'supported_groups/#10' 'max fragment length/#1' 'application layer protocol negotiation/#16' 'extended master secret/#23'","",""
"TLS_session_ticket","dora.incubateur.net/80.247.12.255","443","INFO","valid for 300 seconds only (<daily)","",""
"SSL_sessionID_support","dora.incubateur.net/80.247.12.255","443","INFO","yes","",""
"sessionresumption_ticket","dora.incubateur.net/80.247.12.255","443","INFO","not supported","",""
"sessionresumption_ID","dora.incubateur.net/80.247.12.255","443","INFO","not supported","",""
"TLS_timestamp","dora.incubateur.net/80.247.12.255","443","INFO","random","",""
"certificate_compression","dora.incubateur.net/80.247.12.255","443","INFO","none","",""
"clientAuth","dora.incubateur.net/80.247.12.255","443","INFO","none","",""
"cert_numbers","dora.incubateur.net/80.247.12.255","443","INFO","1","",""
"cert_signatureAlgorithm","dora.incubateur.net/80.247.12.255","443","OK","SHA256 with RSA","",""
"cert_keySize","dora.incubateur.net/80.247.12.255","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","dora.incubateur.net/80.247.12.255","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","dora.incubateur.net/80.247.12.255","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","dora.incubateur.net/80.247.12.255","443","INFO","031B296DC202E0983D51B26768F7E0298E13","",""
"cert_serialNumberLen","dora.incubateur.net/80.247.12.255","443","INFO","18","",""
"cert_fingerprintSHA1","dora.incubateur.net/80.247.12.255","443","INFO","793F70F8AD6F65868194A4D91CF61F1937D7F28D","",""
"cert_fingerprintSHA256","dora.incubateur.net/80.247.12.255","443","INFO","1E6114A9B3F78EFE212438ADC6A45E2CFD82C209B05699DD565B2EB61807716A","",""
