"id","fqdn/ip","port","severity","finding","cve","cwe"
"clientsimulation-ie_8_xp","conseil-refondation.fr/172.67.130.24","443","INFO","No connection","",""
"clientsimulation-ie_11_win7","conseil-refondation.fr/172.67.130.24","443","INFO","TLSv1.2 ECDHE-RSA-AES128-SHA","",""
"clientsimulation-ie_11_win81","conseil-refondation.fr/172.67.130.24","443","INFO","TLSv1.2 ECDHE-RSA-AES128-SHA","",""
"clientsimulation-ie_11_winphone81","conseil-refondation.fr/172.67.130.24","443","INFO","TLSv1.2 ECDHE-RSA-AES128-SHA","",""
"clientsimulation-ie_11_win10","conseil-refondation.fr/172.67.130.24","443","INFO","TLSv1.2 ECDHE-RSA-AES128-GCM-SHA256","",""
"clientsimulation-edge_15_win10","conseil-refondation.fr/172.67.130.24","443","INFO","TLSv1.2 ECDHE-RSA-AES128-GCM-SHA256","",""
"clientsimulation-edge_101_win10_21h2","conseil-refondation.fr/172.67.130.24","443","INFO","TLSv1.3 TLS_AES_128_GCM_SHA256","",""
"clientsimulation-safari_121_ios_122","conseil-refondation.fr/172.67.130.24","443","INFO","TLSv1.3 TLS_CHACHA20_POLY1305_SHA256","",""
"clientsimulation-safari_130_osx_10146","conseil-refondation.fr/172.67.130.24","443","INFO","TLSv1.3 TLS_CHACHA20_POLY1305_SHA256","",""
"clientsimulation-safari_154_osx_1231","conseil-refondation.fr/172.67.130.24","443","INFO","TLSv1.3 TLS_AES_128_GCM_SHA256","",""
"clientsimulation-java_7u25","conseil-refondation.fr/172.67.130.24","443","INFO","TLSv1.0 ECDHE-RSA-AES128-SHA","",""
"clientsimulation-java_8u161","conseil-refondation.fr/172.67.130.24","443","INFO","TLSv1.2 ECDHE-RSA-AES128-GCM-SHA256","",""
"clientsimulation-java1102","conseil-refondation.fr/172.67.130.24","443","INFO","TLSv1.3 TLS_AES_128_GCM_SHA256","",""
"clientsimulation-java1703","conseil-refondation.fr/172.67.130.24","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-go_1178","conseil-refondation.fr/172.67.130.24","443","INFO","TLSv1.3 TLS_AES_128_GCM_SHA256","",""
"clientsimulation-libressl_283","conseil-refondation.fr/172.67.130.24","443","INFO","TLSv1.2 ECDHE-RSA-CHACHA20-POLY1305","",""
"clientsimulation-openssl_102e","conseil-refondation.fr/172.67.130.24","443","INFO","TLSv1.2 ECDHE-RSA-AES128-GCM-SHA256","",""
"clientsimulation-openssl_110l","conseil-refondation.fr/172.67.130.24","443","INFO","TLSv1.2 ECDHE-RSA-CHACHA20-POLY1305","",""
"clientsimulation-openssl_111d","conseil-refondation.fr/172.67.130.24","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-openssl_303","conseil-refondation.fr/172.67.130.24","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-apple_mail_16_0","conseil-refondation.fr/172.67.130.24","443","INFO","TLSv1.2 ECDHE-RSA-AES128-GCM-SHA256","",""
"clientsimulation-thunderbird_91_9","conseil-refondation.fr/172.67.130.24","443","INFO","TLSv1.3 TLS_AES_128_GCM_SHA256","",""
"rating_spec","conseil-refondation.fr/172.67.130.24","443","INFO","SSL Labs's 'SSL Server Rating Guide' (version 2009q from 2020-01-30)","",""
"rating_doc","conseil-refondation.fr/172.67.130.24","443","INFO","https://github.com/ssllabs/research/wiki/SSL-Server-Rating-Guide","",""
"protocol_support_score","conseil-refondation.fr/172.67.130.24","443","INFO","95","",""
"protocol_support_score_weighted","conseil-refondation.fr/172.67.130.24","443","INFO","28","",""
"key_exchange_score","conseil-refondation.fr/172.67.130.24","443","INFO","90","",""
"key_exchange_score_weighted","conseil-refondation.fr/172.67.130.24","443","INFO","27","",""
"cipher_strength_score","conseil-refondation.fr/172.67.130.24","443","INFO","60","",""
"cipher_strength_score_weighted","conseil-refondation.fr/172.67.130.24","443","INFO","24","",""
"final_score","conseil-refondation.fr/172.67.130.24","443","INFO","79","",""
"overall_grade","conseil-refondation.fr/172.67.130.24","443","MEDIUM","B","",""
"grade_cap_reason_1","conseil-refondation.fr/172.67.130.24","443","INFO","Grade capped to B. TLS 1.1 offered","",""
"grade_cap_reason_2","conseil-refondation.fr/172.67.130.24","443","INFO","Grade capped to B. TLS 1.0 offered","",""
"grade_cap_reason_3","conseil-refondation.fr/172.67.130.24","443","INFO","Grade capped to A. HSTS is not offered","",""
"service","conseil-refondation.fr/104.21.7.98","443","INFO","HTTP","",""
"pre_128cipher","conseil-refondation.fr/104.21.7.98","443","INFO","No 128 cipher limit bug","",""
"SSLv2","conseil-refondation.fr/104.21.7.98","443","OK","not offered","",""
"SSLv3","conseil-refondation.fr/104.21.7.98","443","OK","not offered","",""
"TLS1","conseil-refondation.fr/104.21.7.98","443","LOW","offered (deprecated)","",""
"TLS1_1","conseil-refondation.fr/104.21.7.98","443","LOW","offered (deprecated)","",""
"TLS1_2","conseil-refondation.fr/104.21.7.98","443","OK","offered","",""
"TLS1_3","conseil-refondation.fr/104.21.7.98","443","OK","offered with final","",""
"ALPN_HTTP2","conseil-refondation.fr/104.21.7.98","443","OK","h2","",""
"ALPN","conseil-refondation.fr/104.21.7.98","443","INFO","http/1.1","",""
"cipherlist_NULL","conseil-refondation.fr/104.21.7.98","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","conseil-refondation.fr/104.21.7.98","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","conseil-refondation.fr/104.21.7.98","443","OK","not offered","","CWE-327"
"cipherlist_LOW","conseil-refondation.fr/104.21.7.98","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","conseil-refondation.fr/104.21.7.98","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","conseil-refondation.fr/104.21.7.98","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","conseil-refondation.fr/104.21.7.98","443","OK","offered","",""
"cipherlist_STRONG_FS","conseil-refondation.fr/104.21.7.98","443","OK","offered","",""
"cipher_order-tls1","conseil-refondation.fr/104.21.7.98","443","OK","server","",""
"cipherorder_TLSv1","conseil-refondation.fr/104.21.7.98","443","INFO","ECDHE-RSA-AES128-SHA","",""
"cipher_order-tls1_1","conseil-refondation.fr/104.21.7.98","443","OK","server","",""
"cipherorder_TLSv1_1","conseil-refondation.fr/104.21.7.98","443","INFO","ECDHE-RSA-AES128-SHA","",""
"cipher_order-tls1_2","conseil-refondation.fr/104.21.7.98","443","OK","server","",""
"cipherorder_TLSv1_2","conseil-refondation.fr/104.21.7.98","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","conseil-refondation.fr/104.21.7.98","443","OK","server -- TLS 1.3 client determined","",""
"FS","conseil-refondation.fr/104.21.7.98","443","OK","offered","",""
"FS_ciphers","conseil-refondation.fr/104.21.7.98","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES128-SHA256 ECDHE-RSA-AES128-SHA ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384 ECDHE-RSA-AES256-SHA ECDHE-RSA-CHACHA20-POLY1305-OLD","",""
"FS_ECDHE_curves","conseil-refondation.fr/104.21.7.98","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","conseil-refondation.fr/104.21.7.98","443","INFO","'server name/#0' 'renegotiation info/#65281' 'EC point formats/#11' 'session ticket/#35' 'status request/#5' 'next protocol/#13172' 'key share/#51' 'supported versions/#43' 'extended master secret/#23' 'application layer protocol negotiation/#16' 'compress_certificate/#27'","",""
"TLS_session_ticket","conseil-refondation.fr/104.21.7.98","443","INFO","valid for 64800 seconds only (<daily)","",""
"SSL_sessionID_support","conseil-refondation.fr/104.21.7.98","443","INFO","yes","",""
"sessionresumption_ticket","conseil-refondation.fr/104.21.7.98","443","INFO","supported","",""
"sessionresumption_ID","conseil-refondation.fr/104.21.7.98","443","INFO","not supported","",""
"TLS_timestamp","conseil-refondation.fr/104.21.7.98","443","INFO","off by -1 seconds from your localtime","",""
"certificate_compression","conseil-refondation.fr/104.21.7.98","443","INFO","0002/Brotli","",""
"clientAuth","conseil-refondation.fr/104.21.7.98","443","INFO","none","",""
"cert_numbers","conseil-refondation.fr/104.21.7.98","443","INFO","1","",""
"cert_signatureAlgorithm","conseil-refondation.fr/104.21.7.98","443","OK","SHA256 with RSA","",""
"cert_keySize","conseil-refondation.fr/104.21.7.98","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","conseil-refondation.fr/104.21.7.98","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","conseil-refondation.fr/104.21.7.98","443","INFO","TLS Web Server Authentication","",""
"cert_serialNumber","conseil-refondation.fr/104.21.7.98","443","INFO","FC5D74C42D7FC3AA13E18D79F7E38F2B","",""
"cert_serialNumberLen","conseil-refondation.fr/104.21.7.98","443","INFO","16","",""
"cert_fingerprintSHA1","conseil-refondation.fr/104.21.7.98","443","INFO","7F1FD7BB624463FFA7EA1560EAC6892FF04E36F4","",""
"cert_fingerprintSHA256","conseil-refondation.fr/104.21.7.98","443","INFO","5C6A8C023436A8164674BB915F225708D92D4FBED1579C0FAE6D0E5EFCB00F62","",""
"cert","conseil-refondation.fr/104.21.7.98","443","INFO","-----BEGIN CERTIFICATE-----\nMIIFizCCBHOgAwIBAgIRAPxddMQtf8OqE+GNeffjjyswDQYJKoZIhvcNAQELBQAwRjELMAkGA1UEBhMCVVMxIjAgBgNVBAoTGUdvb2dsZSBUcnVzdCBTZXJ2aWNlcyBMTEMxEzARBgNVBAMTCkdUUyBDQSAxUDUwHhcNMjQwMjIzMDMwNjM4WhcNMjQwNTIzMDMwNjM3WjAhMR8wHQYDVQQDExZjb25zZWlsLXJlZm9uZGF0aW9uLmZyMIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEAiHL39eI3fHGPMBXtN2xCwjAe6TboosSiCLJ9+1CzTyqujHOVwgpNPRYCK0vpCJvcVn+6JKpoR6QUPJJJRRBaoB7T4NeMRKyZVYpTqGLxaxjJuILrcqvQKNYxdn4xOG+PBMc3XGADePhSuRWO4Z1+2vA873P6nxwhxngn3sxFqGiphmwOU6pAOlxke561OL8vjUOSqGmYBx9VTmolbx31M8HFVjCCRhrs/lQ1jGej9WyvcU6i7q37F55eJqGteoh2kB4YD0BhoS4+QVrjVdJ4PIuQlCbkbxDuEJmXCarZdW+jbXOY1ATJZiMsWym475umHEbK9wSbAi1wFsnd01X38wIDAQABo4IClzCCApMwDgYDVR0PAQH/BAQDAgWgMBMGA1UdJQQMMAoGCCsGAQUFBwMBMAwGA1UdEwEB/wQCMAAwHQYDVR0OBBYEFMBtHyYQhfTtvnKYva5RbuSvODgvMB8GA1UdIwQYMBaAFNX8ng3fHsrdCJeXbivFX8Ur9ey4MHgGCCsGAQUFBwEBBGwwajA1BggrBgEFBQcwAYYpaHR0cDovL29jc3AucGtpLmdvb2cvcy9ndHMxcDUvNTE5YUFYZjZSMUUwMQYIKwYBBQUHMAKGJWh0dHA6Ly9wa2kuZ29vZy9yZXBvL2NlcnRzL2d0czFwNS5kZXIwOwYDVR0RBDQwMoIWY29uc2VpbC1yZWZvbmRhdGlvbi5mcoIYKi5jb25zZWlsLXJlZm9uZGF0aW9uLmZyMCEGA1UdIAQaMBgwCAYGZ4EMAQIBMAwGCisGAQQB1nkCBQMwPAYDVR0fBDUwMzAxoC+gLYYraHR0cDovL2NybHMucGtpLmdvb2cvZ3RzMXA1L0lJNHhURjRhanVnLmNybDCCAQQGCisGAQQB1nkCBAIEgfUEgfIA8AB2AO7N0GTV2xrOxVy3nbTNE6Iyh0Z8vOzew1FIWUZxH7WbAAABjdQk0RkAAAQDAEcwRQIhAKqImKezC1/PgFKghq4egz+SnXa7RoR5c3kyFcX65tw9AiBm+ay/0DiAmY9HH6mrQN61v+P/zq44amZL5WMiXZbLPQB2AEiw42vapkc0D+VqAvqdMOscUgHLVt0sgdm7v6s52IRzAAABjdQk0UIAAAQDAEcwRQIgbAjWVVmMfL2XqeNl0RsuLnhuzUQJ+M7pHu4vcN9CSRoCIQCnH3RKWkkrjW3kdlUTlLR9d8Fk2hXy/R0Q0BqMWuyfoTANBgkqhkiG9w0BAQsFAAOCAQEABdyyGrXogcjsyk9dfhwEgOnWdJRYDo1dwYhVdOBXNGUKyAlvY53bk/F7vtvIYPlojFE7bwXPqOnqSfugdzTTEMbrNmJvfl3JEFblM7260Zjnv/+ichkw2KNlLTSNOpOMR+RxFO7UcEPNIZbFE1dUb9WsiTTRruA4WCxZ2hYhG+UVQEmIMX70fsrA5xanF8cMZWKxj2XTwyIqKQhTsmheQUFp/+ixqt5e/PwpIeQ0g6B/amDZ9oW7xf/Fl+GMQmy7A10QfKPlyOwPmBg0+r18yCKvEi5CGZxE6XerK77C1k5bduQSYXLPcPZV2PHw+6ierVQNa+Rr6vXCMu5CSkqnyw==\n-----END CERTIFICATE-----","",""
"cert_commonName","conseil-refondation.fr/104.21.7.98","443","OK","conseil-refondation.fr","",""
"cert_commonName_wo_SNI","conseil-refondation.fr/104.21.7.98","443","INFO","request w/o SNI didn't succeed","",""
"cert_subjectAltName","conseil-refondation.fr/104.21.7.98","443","INFO","conseil-refondation.fr *.conseil-refondation.fr","",""
"cert_trust","conseil-refondation.fr/104.21.7.98","443","OK","Ok via SAN and CN (SNI mandatory)","",""
"cert_chain_of_trust","conseil-refondation.fr/104.21.7.98","443","OK","passed.","",""
"cert_certificatePolicies_EV","conseil-refondation.fr/104.21.7.98","443","INFO","no","",""
"cert_expirationStatus","conseil-refondation.fr/104.21.7.98","443","MEDIUM","expires < 60 days (38)","",""
"cert_notBefore","conseil-refondation.fr/104.21.7.98","443","INFO","2024-02-23 03:06","",""
"cert_notAfter","conseil-refondation.fr/104.21.7.98","443","MEDIUM","2024-05-23 03:06","",""
"cert_extlifeSpan","conseil-refondation.fr/104.21.7.98","443","OK","certificate has no extended life time according to browser forum","",""
"cert_eTLS","conseil-refondation.fr/104.21.7.98","443","INFO","not present","",""
"cert_crlDistributionPoints","conseil-refondation.fr/104.21.7.98","443","INFO","http://crls.pki.goog/gts1p5/II4xTF4ajug.crl","",""
"cert_ocspURL","conseil-refondation.fr/104.21.7.98","443","INFO","http://ocsp.pki.goog/s/gts1p5/519aAXf6R1E","",""
"OCSP_stapling","conseil-refondation.fr/104.21.7.98","443","OK","offered","",""
"cert_ocspRevoked","conseil-refondation.fr/104.21.7.98","443","OK","not revoked","",""
"cert_mustStapleExtension","conseil-refondation.fr/104.21.7.98","443","INFO","--","",""
"DNS_CAArecord","conseil-refondation.fr/104.21.7.98","443","LOW","--","",""
"certificate_transparency","conseil-refondation.fr/104.21.7.98","443","OK","yes (certificate extension)","",""
"certs_countServer","conseil-refondation.fr/104.21.7.98","443","INFO","3","",""
"certs_list_ordering_problem","conseil-refondation.fr/104.21.7.98","443","INFO","no","",""
"cert_caIssuers","conseil-refondation.fr/104.21.7.98","443","INFO","GTS CA 1P5 (Google Trust Services LLC from US)","",""
"intermediate_cert <#1>","conseil-refondation.fr/104.21.7.98","443","INFO","-----BEGIN CERTIFICATE-----\nMIIFjDCCA3SgAwIBAgINAgO8UKMnU/CRgCLt8TANBgkqhkiG9w0BAQsFADBHMQswCQYDVQQGEwJVUzEiMCAGA1UEChMZR29vZ2xlIFRydXN0IFNlcnZpY2VzIExMQzEUMBIGA1UEAxMLR1RTIFJvb3QgUjEwHhcNMjAwODEzMDAwMDQyWhcNMjcwOTMwMDAwMDQyWjBGMQswCQYDVQQGEwJVUzEiMCAGA1UEChMZR29vZ2xlIFRydXN0IFNlcnZpY2VzIExMQzETMBEGA1UEAxMKR1RTIENBIDFQNTCCASIwDQYJKoZIhvcNAQEBBQADggEPADCCAQoCggEBALOC8CSMvy2Hr7LZp676yrpE1ls+/rL3smUW3N4Q6E8tEFhaKIaHoe5qs6DZdU9/oVIBi1WoSlsGSMg2EiWrifnyI1+dYGX5XNq+OuhcbX2c0IQYhTDNTpvsPNiz4ZbU88ULZduPsHTL9h7zePGslcXdc8MxiIGvdKpv/QzjBZXwxRBPZWP6oK/GGD3Fod+XedcFibMwsHSuPZIQa4wVd90LBFf7gQPd6iI01eVWsvDEjUGxwwLbYuyA0P921IbkBBq2tgwrYnF92a/Z8V76wB7KoBlcVfCA0SoMB4aQnzXjKCtb7yPIox2kozru/oPcgkwlsE3FUa2em9NbhMIaWukCAwEAAaOCAXYwggFyMA4GA1UdDwEB/wQEAwIBhjAdBgNVHSUEFjAUBggrBgEFBQcDAQYIKwYBBQUHAwIwEgYDVR0TAQH/BAgwBgEB/wIBADAdBgNVHQ4EFgQU1fyeDd8eyt0Il5duK8VfxSv17LgwHwYDVR0jBBgwFoAU5K8rJnEaK0gnhS9SZizv8IkTcT4waAYIKwYBBQUHAQEEXDBaMCYGCCsGAQUFBzABhhpodHRwOi8vb2NzcC5wa2kuZ29vZy9ndHNyMTAwBggrBgEFBQcwAoYkaHR0cDovL3BraS5nb29nL3JlcG8vY2VydHMvZ3RzcjEuZGVyMDQGA1UdHwQtMCswKaAnoCWGI2h0dHA6Ly9jcmwucGtpLmdvb2cvZ3RzcjEvZ3RzcjEuY3JsME0GA1UdIARGMEQwOAYKKwYBBAHWeQIFAzAqMCgGCCsGAQUFBwIBFhxodHRwczovL3BraS5nb29nL3JlcG9zaXRvcnkvMAgGBmeBDAECATANBgkqhkiG9w0BAQsFAAOCAgEAbGMn7iPf5VJoTYFmkYXffWXlWzcxCCayB12avrHKAbmtv5139lEd15jFC0mhe6HX02jlRA+LujbdQoJ30o3d9T/768gHmJPuWtC1Pd5LHC2MTex+jHv+TkD98LSzWQIQUVzjwCv9twZIUX4JXj8P3Kf+l+d5xQ5EiXjFaVkpoJo6SDYpppSTVS24R7XplrWfB82mqz4yisCGg8XBQcifLzWODcAHeuGsyWW1y4qn3XHYYWU5hKwyPvd6NvFWn1epQW1akKfbOup1gAxjC2l0bwdMFfM3KKUZpG719iDNY7J+xCsJdYna0Twuck82GqGeRNDNm6YjCD+XoaeeWqX3CZStXXZdKFbRGmZRUQd73j2wyO8weiQtvrizhvZL9/C1T//Oxvn2PyonCA8JPiNax+NCLXo25D2YlmA5mOrR22Mq63gJsU4hs463zj6S8ZVcpDnQwCvIUxX10i+CzQZ0Z5mQdzcKly3FHB700FvpFePqAgnIE9cTcGW/+4ibWiW+dwnhp2pOEXW5Hk3xABtqZnmOw27YbaIiom0F+yzy8VDloNHYnzV9/HCrWSoC8b6w0/H4zRK5aiWQW+OFIOb12stAHBk0IANhd7p/SA9JCynr52Fkx2PRR+sc4e6URu85c8zuTyuN3PtYp7NlIJmVuftVb9eWbpQ99HqSjmMd320=\n-----END CERTIFICATE-----","",""
"intermediate_cert_fingerprintSHA256 <#1>","conseil-refondation.fr/104.21.7.98","443","INFO","97D42003E132552946097F20EF955F5B1CD570AA4372D780033A65EFBE69758D","",""
"intermediate_cert_notBefore <#1>","conseil-refondation.fr/104.21.7.98","443","INFO","2020-08-13 00:00","",""
"intermediate_cert_notAfter <#1>","conseil-refondation.fr/104.21.7.98","443","OK","2027-09-30 00:00","",""
"intermediate_cert_expiration <#1>","conseil-refondation.fr/104.21.7.98","443","OK","ok > 40 days","",""
"intermediate_cert_chain <#1>","conseil-refondation.fr/104.21.7.98","443","INFO","GTS CA 1P5 <-- GTS Root R1","",""
"intermediate_cert <#2>","conseil-refondation.fr/104.21.7.98","443","INFO","-----BEGIN CERTIFICATE-----\nMIIFYjCCBEqgAwIBAgIQd70NbNs2+RrqIQ/E8FjTDTANBgkqhkiG9w0BAQsFADBXMQswCQYDVQQGEwJCRTEZMBcGA1UEChMQR2xvYmFsU2lnbiBudi1zYTEQMA4GA1UECxMHUm9vdCBDQTEbMBkGA1UEAxMSR2xvYmFsU2lnbiBSb290IENBMB4XDTIwMDYxOTAwMDA0MloXDTI4MDEyODAwMDA0MlowRzELMAkGA1UEBhMCVVMxIjAgBgNVBAoTGUdvb2dsZSBUcnVzdCBTZXJ2aWNlcyBMTEMxFDASBgNVBAMTC0dUUyBSb290IFIxMIICIjANBgkqhkiG9w0BAQEFAAOCAg8AMIICCgKCAgEAthECix7joXebO9y/lD63ladAPKH9gvl9MgaCcfb2jH/76Nu8ai6Xl6OMS/kr9rH5zoQdsfnFl97vufKj6bwSiV6nqlKr+CMny6SxnGPb15l+8Ape62im9MZaRw1NEDPjTrETo8gYbEvs/AmQ351kKSUjB6G00j0uYODP0gmHu81I8E3CwnqIiru6z1kZ1q+PsAewnjHxgsHA3y6mbWwZDrXYfiYaRQM9sHmklCitD38m5agI/pboPGiUU+6DOogrFZYJsuB6jC511pzrp1Zkj5ZPaK49l8KEj8C8QMALXL32h7M1bKwYUH+E4EzNktMg6TO8UpmvMrUpsyUqtEj5cuHKZPfmghCN6J3Cioj6OGaK/GP5Afl4/Xtcd/p2h/rs37EOeZVXtL0m79YB0esWCruOC7XFxYpVq9Os6pFLKcwZpDIlTirxZUTQAs6qzkm06p98g7BAe+dDq6dso499iYH6TKX/1Y7DzkvgtdizjkXPdsDtQCv9Uw+wp9U7DbGKogPeMa3Md+pvez7W35EiEua++tgy/BBjFFFy3l3WFpO9KWgz7zpm7AeKJt8T11dleCfeXkkUAKIAf5qoIbapsZWwpbkNFhHax2xIPEDgfg1azVY80ZcFuctL7TlLnMQ/0lUTbiSw1nH69MG6zO0b9f6BQdgAmD06yK56mDcYBZUCAwEAAaOCATgwggE0MA4GA1UdDwEB/wQEAwIBhjAPBgNVHRMBAf8EBTADAQH/MB0GA1UdDgQWBBTkrysmcRorSCeFL1JmLO/wiRNxPjAfBgNVHSMEGDAWgBRge2YaRQ2XyolQL30EzTSo//z9SzBgBggrBgEFBQcBAQRUMFIwJQYIKwYBBQUHMAGGGWh0dHA6Ly9vY3NwLnBraS5nb29nL2dzcjEwKQYIKwYBBQUHMAKGHWh0dHA6Ly9wa2kuZ29vZy9nc3IxL2dzcjEuY3J0MDIGA1UdHwQrMCkwJ6AloCOGIWh0dHA6Ly9jcmwucGtpLmdvb2cvZ3NyMS9nc3IxLmNybDA7BgNVHSAENDAyMAgGBmeBDAECATAIBgZngQwBAgIwDQYLKwYBBAHWeQIFAwIwDQYLKwYBBAHWeQIFAwMwDQYJKoZIhvcNAQELBQADggEBADSkHrEoo9C0dhemMXoh6dFSPsjbdBZBiLg9NR3t5P+T4Vxfq7vqfM/b5A3Ri1fyJm9bvhdGaJQ3b2t6yMAYN/olUazsaL+yyEn9WprKASOshIArAoyZl+tJaox118fessmXn1hIVw41oeQa1v1vg4Fv74zPl6/AhSrw9U5pCZEt4Wi4wStz6dTZ/CLANx8LZh1J7QJVj2fhMtfTJr9w4z30Z209fOU0iOMy+qduBmpvvYuR7hZL6Dupszfnw0Skfths18dG9ZKb59UhvmaSGZRVbNQpsg3BZlvid0lIKO2d1xozclOzgjXPYovJJIultzkMu34qQb9Sz/yilrbCgj8=\n-----END CERTIFICATE-----","",""
"intermediate_cert_fingerprintSHA256 <#2>","conseil-refondation.fr/104.21.7.98","443","INFO","3EE0278DF71FA3C125C4CD487F01D774694E6FC57E0CD94C24EFD769133918E5","",""
"intermediate_cert_notBefore <#2>","conseil-refondation.fr/104.21.7.98","443","INFO","2020-06-19 00:00","",""
"intermediate_cert_notAfter <#2>","conseil-refondation.fr/104.21.7.98","443","OK","2028-01-28 00:00","",""
"intermediate_cert_expiration <#2>","conseil-refondation.fr/104.21.7.98","443","OK","ok > 40 days","",""
"intermediate_cert_chain <#2>","conseil-refondation.fr/104.21.7.98","443","INFO","GTS Root R1 <-- GlobalSign Root CA","",""
"intermediate_cert_badOCSP","conseil-refondation.fr/104.21.7.98","443","OK","intermediate certificate(s) is/are ok","",""
"HTTP_status_code","conseil-refondation.fr/104.21.7.98","443","INFO","200 OK ('/')","",""
"HTTP_clock_skew","conseil-refondation.fr/104.21.7.98","443","INFO","0 seconds from localtime","",""
"HTTP_headerTime","conseil-refondation.fr/104.21.7.98","443","INFO","1713088478","",""
"HSTS","conseil-refondation.fr/104.21.7.98","443","LOW","not offered","",""
"HPKP","conseil-refondation.fr/104.21.7.98","443","INFO","No support for HTTP Public Key Pinning","",""
"banner_server","conseil-refondation.fr/104.21.7.98","443","INFO","cloudflare","",""
"banner_application","conseil-refondation.fr/104.21.7.98","443","INFO","No application banner found","",""
"cookie_count","conseil-refondation.fr/104.21.7.98","443","INFO","0 at '/'","",""
"X-Frame-Options","conseil-refondation.fr/104.21.7.98","443","OK","DENY","",""
"X-Content-Type-Options","conseil-refondation.fr/104.21.7.98","443","OK","nosniff","",""
"Content-Security-Policy","conseil-refondation.fr/104.21.7.98","443","OK","connect-src connect.facebook.net *.facebook.com 'self' stats.conseil-refondation.fr client.axept.io api.axept.io googletagmanager.com googleadservices.com googleads.g.doubleclick.net/ form.typeform.com; script-src 'self' 'sha256-bniFC3kd4JwCYRuTuxW9AjUYecKEuyTLJ+5NH6TJBWE=' stats.conseil-refondation.fr 'sha256-1neh+DsrMKevQd7CmK4xkhFjYHtrpaiR8ncbjLw/w5E=' connect.facebook.net static.axept.io www.googletagmanager.com www.googleadservices.com googleads.g.doubleclick.net embed.typeform.com; default-src 'self' data: localhost:8000; img-src 'self' data: localhost:8000 *.google.com *.gstatic.com *.facebook.com *.google.fr cellar-c2.services.clever-cloud.com; frame-src *.youtube.com *.facebook.com *.vimeo.com datawrapper.dwcdn.net form.typeform.com; style-src 'self' 'unsafe-hashes' 'sha256-d//Lck7pNf/OY9MPfGYaIOTmqjEzvwlSukK3UObI08A=' 'sha256-Eyt3MCqJJqqqUJzUlVq9BLYX+kVGQZVLpJ4toZz4mb8=' 'sha256-Xhd5+zYamb/dMdyIkYwXmzaXokrsMrINTdCsO/s+Hcc=' 'sha256-dDZkVrIJy1Xyahb04E1npPS7ONJw3g8949x7gAc/kEY=' 'sha256-/68szNaQXdlDug09n2c6rD/J5VWzEfkXCRsVxk+Bc7s=' 'sha256-AthIs6YNuVjwfheHgESE8WAfJ61fXMZXX7s/UwRV5Dg=' embed.typeform.com","",""
"Referrer-Policy","conseil-refondation.fr/104.21.7.98","443","INFO","same-origin","",""
"banner_reverseproxy","conseil-refondation.fr/104.21.7.98","443","INFO","--","","CWE-200"
"heartbleed","conseil-refondation.fr/104.21.7.98","443","OK","not vulnerable, no heartbeat extension","CVE-2014-0160","CWE-119"
"CCS","conseil-refondation.fr/104.21.7.98","443","OK","not vulnerable","CVE-2014-0224","CWE-310"
"ticketbleed","conseil-refondation.fr/104.21.7.98","443","OK","not vulnerable","CVE-2016-9244","CWE-200"
"ROBOT","conseil-refondation.fr/104.21.7.98","443","OK","not vulnerable","CVE-2017-17382 CVE-2017-17427 CVE-2017-17428 CVE-2017-13098 CVE-2017-1000385 CVE-2017-13099 CVE-2016-6883 CVE-2012-5081 CVE-2017-6168","CWE-203"
"secure_renego","conseil-refondation.fr/104.21.7.98","443","OK","supported","","CWE-310"
"secure_client_renego","conseil-refondation.fr/104.21.7.98","443","OK","not vulnerable","CVE-2011-1473","CWE-310"
"CRIME_TLS","conseil-refondation.fr/104.21.7.98","443","OK","not vulnerable","CVE-2012-4929","CWE-310"
"BREACH","conseil-refondation.fr/104.21.7.98","443","MEDIUM","potentially VULNERABLE, br gzip HTTP compression detected  - only supplied '/' tested","CVE-2013-3587","CWE-310"
"POODLE_SSL","conseil-refondation.fr/104.21.7.98","443","OK","not vulnerable, no SSLv3","CVE-2014-3566","CWE-310"
"fallback_SCSV","conseil-refondation.fr/104.21.7.98","443","OK","supported","",""
"SWEET32","conseil-refondation.fr/104.21.7.98","443","LOW","uses 64 bit block ciphers","CVE-2016-2183 CVE-2016-6329","CWE-327"
