"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","moana.beta.gouv.fr/185.21.194.105","443","INFO","HTTP","",""
"pre_128cipher","moana.beta.gouv.fr/185.21.194.105","443","INFO","No 128 cipher limit bug","",""
"SSLv2","moana.beta.gouv.fr/185.21.194.105","443","OK","not offered","",""
"SSLv3","moana.beta.gouv.fr/185.21.194.105","443","OK","not offered","",""
"TLS1","moana.beta.gouv.fr/185.21.194.105","443","INFO","not offered","",""
"TLS1_1","moana.beta.gouv.fr/185.21.194.105","443","INFO","not offered","",""
"TLS1_2","moana.beta.gouv.fr/185.21.194.105","443","OK","offered","",""
"TLS1_3","moana.beta.gouv.fr/185.21.194.105","443","OK","offered with final","",""
"ALPN_HTTP2","moana.beta.gouv.fr/185.21.194.105","443","OK","h2","",""
"ALPN","moana.beta.gouv.fr/185.21.194.105","443","INFO","http/1.1","",""
"cipherlist_NULL","moana.beta.gouv.fr/185.21.194.105","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","moana.beta.gouv.fr/185.21.194.105","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","moana.beta.gouv.fr/185.21.194.105","443","OK","not offered","","CWE-327"
"cipherlist_LOW","moana.beta.gouv.fr/185.21.194.105","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","moana.beta.gouv.fr/185.21.194.105","443","INFO","not offered","","CWE-310"
"cipherlist_AVERAGE","moana.beta.gouv.fr/185.21.194.105","443","LOW","offered","","CWE-310"
"cipherlist_GOOD","moana.beta.gouv.fr/185.21.194.105","443","INFO","not offered","",""
"cipherlist_STRONG","moana.beta.gouv.fr/185.21.194.105","443","OK","offered","",""
"cipher_order","moana.beta.gouv.fr/185.21.194.105","443","OK","server","",""
"protocol_negotiated","moana.beta.gouv.fr/185.21.194.105","443","OK","Default protocol TLS1.3","",""
"cipher_negotiated","moana.beta.gouv.fr/185.21.194.105","443","OK","TLS_AES_256_GCM_SHA384, 253 bit ECDH (X25519)","",""
"cipherorder_TLSv1_2","moana.beta.gouv.fr/185.21.194.105","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
"FS","moana.beta.gouv.fr/185.21.194.105","443","OK","offered","",""
"FS_ciphers","moana.beta.gouv.fr/185.21.194.105","443","INFO","DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384","",""
"FS_ECDHE_curves","moana.beta.gouv.fr/185.21.194.105","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","moana.beta.gouv.fr/185.21.194.105","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'session ticket/#35' 'next protocol/#13172' 'supported versions/#43' 'key share/#51' 'supported_groups/#10' 'max fragment length/#1' 'application layer protocol negotiation/#16' 'encrypt-then-mac/#22' 'extended master secret/#23'","",""
"TLS_session_ticket","moana.beta.gouv.fr/185.21.194.105","443","INFO","valid for 300 seconds only (<daily)","",""
"SSL_sessionID_support","moana.beta.gouv.fr/185.21.194.105","443","INFO","yes","",""
"sessionresumption_ticket","moana.beta.gouv.fr/185.21.194.105","443","INFO","not supported","",""
"sessionresumption_ID","moana.beta.gouv.fr/185.21.194.105","443","INFO","not supported","",""
"TLS_timestamp","moana.beta.gouv.fr/185.21.194.105","443","INFO","random","",""
"certificate_compression","moana.beta.gouv.fr/185.21.194.105","443","INFO","none","",""
"clientAuth","moana.beta.gouv.fr/185.21.194.105","443","INFO","none","",""
"cert_numbers","moana.beta.gouv.fr/185.21.194.105","443","INFO","1","",""
"cert_signatureAlgorithm","moana.beta.gouv.fr/185.21.194.105","443","OK","SHA256 with RSA","",""
"cert_keySize","moana.beta.gouv.fr/185.21.194.105","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","moana.beta.gouv.fr/185.21.194.105","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","moana.beta.gouv.fr/185.21.194.105","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","moana.beta.gouv.fr/185.21.194.105","443","INFO","03163A5964046B49208E1A43BCBADCE10509","",""
"cert_serialNumberLen","moana.beta.gouv.fr/185.21.194.105","443","INFO","18","",""
