"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","metiis.fabnum.fr/51.15.215.184","443","INFO","HTTP","",""
"pre_128cipher","metiis.fabnum.fr/51.15.215.184","443","INFO","No 128 cipher limit bug","",""
"SSLv2","metiis.fabnum.fr/51.15.215.184","443","OK","not offered","",""
"SSLv3","metiis.fabnum.fr/51.15.215.184","443","OK","not offered","",""
"TLS1","metiis.fabnum.fr/51.15.215.184","443","LOW","offered (deprecated)","",""
"TLS1_1","metiis.fabnum.fr/51.15.215.184","443","LOW","offered (deprecated)","",""
"TLS1_2","metiis.fabnum.fr/51.15.215.184","443","OK","offered","",""
"TLS1_3","metiis.fabnum.fr/51.15.215.184","443","OK","offered with final","",""
"ALPN_HTTP2","metiis.fabnum.fr/51.15.215.184","443","OK","h2","",""
"ALPN","metiis.fabnum.fr/51.15.215.184","443","INFO","http/1.1","",""
"cipherlist_NULL","metiis.fabnum.fr/51.15.215.184","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","metiis.fabnum.fr/51.15.215.184","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","metiis.fabnum.fr/51.15.215.184","443","OK","not offered","","CWE-327"
"cipherlist_LOW","metiis.fabnum.fr/51.15.215.184","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","metiis.fabnum.fr/51.15.215.184","443","MEDIUM","offered","","CWE-310"
"cipherlist_AVERAGE","metiis.fabnum.fr/51.15.215.184","443","LOW","offered","","CWE-310"
"cipherlist_GOOD","metiis.fabnum.fr/51.15.215.184","443","OK","offered","",""
"cipherlist_STRONG","metiis.fabnum.fr/51.15.215.184","443","OK","offered","",""
"cipher_order","metiis.fabnum.fr/51.15.215.184","443","HIGH","NOT a cipher order configured","",""
"protocol_negotiated","metiis.fabnum.fr/51.15.215.184","443","OK","Default protocol TLS1.3","",""
"cipher_negotiated","metiis.fabnum.fr/51.15.215.184","443","OK","TLS_AES_256_GCM_SHA384, 253 bit ECDH (X25519)  (limited sense as client will pick)","",""
"cipher-tls1_xc014","metiis.fabnum.fr/51.15.215.184","443","LOW","TLSv1   xc014   ECDHE-RSA-AES256-SHA              ECDH 521   AES         256      TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA","",""
"cipher-tls1_x35","metiis.fabnum.fr/51.15.215.184","443","LOW","TLSv1   x35     AES256-SHA                        RSA        AES         256      TLS_RSA_WITH_AES_256_CBC_SHA","",""
"cipher-tls1_xc013","metiis.fabnum.fr/51.15.215.184","443","LOW","TLSv1   xc013   ECDHE-RSA-AES128-SHA              ECDH 521   AES         128      TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA","",""
"cipher-tls1_x2f","metiis.fabnum.fr/51.15.215.184","443","LOW","TLSv1   x2f     AES128-SHA                        RSA        AES         128      TLS_RSA_WITH_AES_128_CBC_SHA","",""
"cipher-tls1_xc012","metiis.fabnum.fr/51.15.215.184","443","MEDIUM","TLSv1   xc012   ECDHE-RSA-DES-CBC3-SHA            ECDH 521   3DES        168      TLS_ECDHE_RSA_WITH_3DES_EDE_CBC_SHA","",""
"cipher-tls1_x0a","metiis.fabnum.fr/51.15.215.184","443","MEDIUM","TLSv1   x0a     DES-CBC3-SHA                      RSA        3DES        168      TLS_RSA_WITH_3DES_EDE_CBC_SHA","",""
"supportedciphers_TLSv1","metiis.fabnum.fr/51.15.215.184","443","INFO","ECDHE-RSA-AES256-SHA AES256-SHA ECDHE-RSA-AES128-SHA AES128-SHA ECDHE-RSA-DES-CBC3-SHA DES-CBC3-SHA","",""
"cipher-tls1_1_xc014","metiis.fabnum.fr/51.15.215.184","443","LOW","TLSv1.1   xc014   ECDHE-RSA-AES256-SHA              ECDH 521   AES         256      TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA","",""
"cipher-tls1_1_x35","metiis.fabnum.fr/51.15.215.184","443","LOW","TLSv1.1   x35     AES256-SHA                        RSA        AES         256      TLS_RSA_WITH_AES_256_CBC_SHA","",""
"cipher-tls1_1_xc013","metiis.fabnum.fr/51.15.215.184","443","LOW","TLSv1.1   xc013   ECDHE-RSA-AES128-SHA              ECDH 521   AES         128      TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA","",""
